A,B,C,D,E,F,G,H,I,J,K,CMCase
1.25,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,8.31
0.5,2,2,0,0,0.5,0,0.25,0,0,0,0.9
2,0,0,0,2,0.5,0.5,0,0.2,0.05,0,0.06
2,0,2,2,2,0.5,0.5,0,0.2,0,0,0.05
0.5,2,0,2,2,0.5,0,0.25,0.2,0,0.02,4.2
0.5,2,2,2,2,0,0.5,0,0.2,0,0,4.02
0.5,2,0,2,2,0,0,0,0.2,0.05,0,4.2
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.15
2,2,0,2,0,0,0.5,0.25,0.2,0.05,0,0.08
0.5,2,2,2,2,0.5,0.5,0,0.2,0,0,4.2
0.5,0,2,0,0,0,0.5,0.25,0.2,0,0.02,8.08
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.15
2,0,0,2,0,0,0,0.25,0.2,0.05,0,0.06
0.5,2,2,0,2,0.5,0,0.25,0,0,0,0.1
2,0,2,2,0,0.5,0,0,0,0,0.02,0
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
2,0,0,2,0,0,0,0.25,0.2,0.05,0,0.06
0.5,2,2,0,2,0.5,0,0.25,0,0,0,1.1
0.5,0,2,0,2,0,0.5,0.25,0.2,0,0.02,7.5
2,0,0,2,0,0,0,0.25,0.2,0.05,0,0.07
2,0,0,2,0,0.5,0,0.25,0.2,0,0.02,0.06
0.5,2,2,2,2,0.5,0.5,0,0.2,0,0,4.2
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,0.95
2,0,0,2,0,0.5,0,0,0.2,0,0.02,0.01
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,0.9
2,2,2,2,2,0.5,0.5,0.25,0,0.05,0,0.1
0.5,0,0,0,2,0,0.5,0.25,0,0.05,0.02,3.6
0.5,2,2,0,2,0.5,0,0.25,0,0,0,1.18
2,0,2,2,0,0.5,0,0,0,0.05,0.02,0
2,2,2,0,2,0.5,0,0.25,0,0.05,0,0.08
0.5,0,0,2,2,0,0,0.25,0.2,0.05,0,3.6
0.5,2,2,0,0,0.5,0,0,0.2,0.05,0.02,1.15
0.5,0,0,0,2,0,0.5,0.25,0,0.05,0.02,3.8
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
0.5,0,0,0,0,0,0,0,0,0,0,0.21
0.5,2,0,2,0,0.5,0.5,0,0.2,0,0,1.3
0.5,0,0,2,0,0,0,0,0.2,0,0.02,0.3
0.5,0,0,2,0,0,0.5,0,0,0,0.02,0.21
0.5,0,0,0,0,0,0,0,0,0,0,3.3
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,8.26
0.5,2,0,0,2,0,0,0,0.2,0.05,0.02,4.2
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0,0.85
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,0.9
0.5,2,0,0,2,0.5,0.5,0.25,0,0.05,0.02,3.85
2,2,0,0,2,0.5,0.5,0,0.2,0.05,0,0.09
0.5,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,1.6
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,1.15
0.5,0,0,0,2,0,0.5,0.25,0,0.05,0.02,3.6
0.5,2,2,0,2,0,0,0,0.2,0.05,0.02,1.95
0.5,2,2,2,2,0.5,0.5,0,0.2,0,0,4.2
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.15
2,2,2,2,2,0.5,0.5,0.25,0,0.05,0,0.09
0.5,0,2,2,0,0,0,0,0,0.05,0,0.3
0.5,2,0,0,2,0,0,0,0.2,0.05,0.02,4.2
2,0,2,0,2,0.5,0,0,0.2,0,0,0.05
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.3
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,1.15
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.16
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
2,0,0,0,0,0,0.5,0.25,0.2,0.05,0.02,0.07
0.5,0,1,1,2,0,0.25,0.25,0.1,0.03,0.01,3.8
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,1.15
2,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,0,0,2,2,0.5,0.5,0.25,0.2,0.05,0.02,8.08
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
2,2,2,0,0,0,0.5,0.25,0.2,0,0.02,0.08
0.5,0,0,2,2,0,0,0.25,0.2,0.05,0,3.72
0.5,0,0,2,2,0,0,0.25,0.2,0.05,0,3.6
2,2,0,2,0,0,0,0.25,0.2,0.05,0,0.09
2,2,0,2,0,0,0,0.25,0.2,0,0,0.09
1.25,1,0,0,1,0.5,0.5,0,0.2,0.05,0,8.85
0.5,0,2,2,2,0,0.5,0.25,0,0.05,0,8.06
0.5,2,0,2,2,0.5,0,0.25,0.2,0,0.02,4.02
0.5,0,2,0,0,0,0,0,0,0,0,0.21
2,2,2,2,0,0,0.5,0.25,0,0.05,0,0.08
2,0,2,0,0,0,0,0.25,0.2,0.05,0.02,0.06
2,0,0,2,0,0.5,0,0,0,0,0.02,0
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.3
0.5,0,2,0,0,0,0,0,0,0,0,0.3
2,2,0,2,0,0,0.5,0.25,0.2,0,0,0.08
0.5,0,0,0,0,0,0,0,0,0,0,3.3
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,4.15
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.3
0.5,0,0,2,2,0.5,0,0.25,0.2,0,0.02,0.08
2,2,1,1,2,0.5,0.25,0.13,0.1,0.03,0.01,0.09
2,0,0,0,0,0.5,0,0,0,0,0,0
0.5,2,2,0,0,0.5,0,0,0.2,0.05,0.02,1.15
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.3
0.5,0,0,0,0,0,0,0,0,0,0,1.25
0.5,0,1,0,0,0,0.25,0,0,0.03,0,0.25
2,2,0,2,2,0,0.5,0,0,0,0.02,0.1
2,2,2,2,0,0,0.5,0.25,0.2,0,0,0.09
2,2,2,0,2,0,0,0,0.2,0.05,0.02,0.02
0.5,2,2,2,0,0,0.5,0.25,0,0.05,0,0.6
0.5,2,2,0,0,0.5,0,0,0.2,0.05,0.02,1.3
0.5,2,0,2,2,0,0,0,0.2,0.05,0,4.02
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.21
2,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,8.6
0.5,0,2,0,0,0,0,0,0,0,0,0.3
0.5,0,0,2,0,0,0,0.25,0.2,0.05,0,0.3
0.5,2,2,0,0,0.5,0,0,0.2,0.05,0.02,1.3
2,0,0,0,0,0,0,0.25,0.2,0,0.02,0.07
0.5,2,2,0,2,0.5,0,0.25,0,0,0,0.21
0.5,0,0,0,0,0,0.5,0,0,0.05,0.02,0.3
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.6
0.5,2,2,2,0,0,0.5,0.25,0,0.05,0,1.15
2,0,0,0,0,0,0,0,0,0,0,0.1
0.5,0,0,2,2,0.5,0,0.25,0.2,0,0.02,3.8
2,0,0,0,0,0,0,0.25,0.2,0,0.02,0.06
2,2,2,0,0,0,0,0.25,0,0,0,0.08
2,0,0,0,0,0,0.5,0.25,0.2,0.05,0.02,0.06
2,2,2,2,0,0,0,0.25,0.2,0.05,0,0.08
2,0,2,0,0,0,0,0.25,0.2,0.05,0.02,0.07
0.5,0,2,2,0,0.5,0,0,0,0.05,0.02,0
0.5,0,0,2,2,0,0.5,0.25,0,0.05,0,3.72
2,2,2,2,0,0,0.5,0.25,0,0.05,0,0.08
0.5,2,2,0,2,0.5,0,0.25,0,0,0,0.9
2,2,0,0,0,0,0,0,0,0,0,0.08
0.5,0,0,2,2,0,0.5,0.25,0,0,0,3.6
0.5,2,0,0,2,0,0,0,0.2,0.05,0.02,4.2
0.5,2,0,2,0,0.5,0,0.25,0.2,0,0.02,1.1
2,0,0,0,0,0,0,0,0,0,0,0.21
2,2,2,2,2,0.5,0.5,0.25,0,0.05,0,0.09
0.5,0,2,2,2,0,0.5,0.25,0,0.05,0,8.08
1.25,1,0,0,1,0.5,0.5,0.25,0,0.05,0.02,8.6
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
0.5,2,2,0,0,0.5,0.5,0.25,0,0.05,0.02,1.1
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.3
2,2,2,2,2,0.5,0.5,0.25,0,0,0,0.1
2,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,0.08
0.5,0,2,0,0,0,0,0,0,0.05,0,0.25
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,1.15
0.5,2,0,2,2,0,0.5,0,0,0,0.02,3.95
1.25,0,0,2,2,0.5,0,0.25,0.2,0,0.02,8.7
0.5,2,0,2,2,0,0,0,0.2,0,0.02,4.2
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,0,2,2,2,0,0.5,0.25,0,0.05,0,3.8
2,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,0,0.5,0.5,0,0.2,0,0,0.26
0.5,2,0,0,2,0,0,0,0.2,0,0.02,4.2
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.15
2,0,0,2,0,0,0.5,0,0,0,0.02,0.06
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
2,2,2,2,2,0,0,0,0,0.05,0.02,0.02
0.5,2,2,0,2,0.5,0,0.25,0,0,0,3.8
0.5,2,2,0,0,0.5,0,0.25,0,0,0,0.85
0.5,0,0,2,2,0.5,0,0.25,0.2,0,0.02,4.3
1.25,0,0,2,2,0,0.5,0,0,0,0.02,8.7
0.5,2,0,2,0,0.5,0.5,0,0.2,0.05,0,1.3
0.5,0,0,2,2,0,0.5,0,0,0,0.02,7.5
2,0,2,0,0,0,0,0,0.2,0.05,0.02,0.06
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.15
0.5,2,0,2,0,0,0,0.25,0.2,0.05,0,1.8
2,0,2,0,0,0,0.5,0.25,0.2,0,0.02,0.07
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.15
2,0,0,2,0,0,0.5,0.25,0,0,0.02,0.06
1.25,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,8.1
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
0.5,0,0,0,0,0,0,0,0,0,0,1.25
2,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,2,2,0,0,0.5,0.5,0.25,0,0.05,0.02,0.9
2,2,0,0,2,0.5,0.5,0.25,0,0.05,0.02,0.08
0.5,2,0,2,0,0.5,0.5,0.25,0,0,0.02,0.85
2,0,2,0,2,0.5,0.5,0,0.2,0,0,0.07
2,0,1,1,0,0.25,0.25,0.13,0.1,0.03,0.01,0.06
0.5,2,2,0,0,0.5,0,0.25,0,0,0,0.9
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
0.5,1,1,1,2,0.25,0.25,0.13,0.1,0.03,0.01,4.1
0.5,2,0,2,2,0,0,0,0.2,0.05,0,3.95
0.5,2,2,0,2,0.5,0,0.25,0,0,0,1.1
0.5,2,0,2,0,0.5,0.5,0,0.2,0.05,0,1.15
0.5,0,2,0,0,0,0,0,0,0,0,0.21
2,0,0,0,2,0.5,0.5,0,0.2,0.05,0,0.06
0.5,2,2,0,0,0.5,0.5,0.25,0,0,0.02,0.9
2,2,0,2,0,0,0.5,0.25,0.2,0.05,0,0.09
2,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,1.3
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.6
2,2,2,0,2,0.5,0,0.25,0,0,0,0.12
2,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
2,2,0,2,2,0,0.5,0,0,0,0.02,0.1
0.5,0,2,0,2,0.5,0,0.25,0,0,0,1.17
2,0,0,0,0,0.5,0.5,0,0.2,0.05,0,0
0.5,0,2,0,0,0,0.5,0.25,0.2,0,0.02,1.15
2,0,0,0,2,0.5,0.5,0,0.2,0.05,0,0.06
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.6
0.5,2,2,0,2,0.5,0,0.25,0,0,0,8.5
2,0,1,1,0,0.5,0.25,0.13,0.1,0.03,0.01,0.06
0.5,0,0,0,0,0,0,0,0,0,0,0.3
2,0,2,0,2,0.5,0.5,0,0.2,0,0,0.07
2,2,2,0,2,0.5,0,0.25,0,0.05,0,0.08
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,4.3
1.25,1,0,1,1,0.25,0.25,0.13,0.1,0.03,0.01,8.39
2,0,0,2,2,0.5,0,0.25,0.2,0,0.02,0.08
2,0,0,2,2,0.5,0,0.25,0.2,0,0.02,0.08
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
2,0,2,2,0,0.5,0,0,0,0.05,0.02,0
2,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,0.08
2,2,2,2,0,0,0,0.25,0.2,0.05,0,0.09
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.8
0.5,2,2,2,0,0.5,0,0,0.2,0,0,1.3
1.25,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,8.7
0.5,2,0,2,0,0.5,0.5,0,0.2,0.05,0,1.15
2,0,0,0,0,0,0,0,0,0,0,0.21
2,0,0,2,0,0,0,0.25,0.2,0.05,0,0.07
1.25,1,0,1,1,0.25,0.25,0.13,0.1,0.03,0.01,8.6
0.5,2,0,2,0,0.5,0.5,0.25,0,0,0.02,1.1
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,0,0,0,0,0,0,0,0,0,0,1.25
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.16
2,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
2,0,0,2,2,0.5,0,0.25,0.2,0,0.02,0.08
0.5,0,2,0,0,0,0,0,0,0,0,0.21
2,0,0,0,2,0.5,0.5,0,0.2,0.05,0,0.06
0.5,2,0,0,2,0,0.5,0,0.2,0.05,0.02,4.02
1.25,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,8.85
0.5,0,0,0,2,0.5,0.5,0,0.2,0.05,0,4.1
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,1.3
0.5,2,2,0,0,0.5,0,0.25,0,0,0,0.85
0.5,2,2,0,0,0.5,0,0,0.2,0.05,0.02,1.15
2,0,0,2,2,0,0.5,0,0,0,0.02,0.09
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,1.85
0.5,2,2,0,2,0,0,0,0.2,0.05,0.02,7.5
1.25,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,8.15
0.5,0,2,0,0,0,0,0,0,0.05,0,0.21
0.5,0,0,2,2,0,0.5,0,0,0,0.02,7.5
0.5,0,0,2,2,0.5,0,0.25,0.2,0,0.02,8.06
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
2,2,0,2,0,0,0,0.25,0.2,0.05,0,0.09
2,0,0,0,0,0.5,0.5,0,0.2,0.05,0,0.01
0.5,2,2,0,0,0.5,0.5,0.25,0,0,0.02,0.9
0.5,2,2,0,2,0,0.5,0,0.2,0.05,0.02,4.2
0.5,0,0,2,2,0.5,0,0.25,0.2,0.05,0,7.5
0.5,0,2,2,2,0,0.5,0.25,0,0.05,0,0.72
0.5,2,0,0,2,0,0.5,0,0.2,0.05,0,3.95
0.5,2,2,0,0,0.5,0.5,0.25,0,0.05,0.02,1.1
0.5,0,0,0,2,0,0.5,0.25,0,0.05,0.02,3.72
0.5,2,0,0,2,0,0,0,0.2,0,0.02,4.02
0.5,2,0,0,2,0,0,0,0.2,0.05,0.02,3.95
2,0,0,2,2,0.5,0,0.25,0.2,0,0.02,0.08
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.35
0.5,0,2,0,0,0,0.5,0.25,0.2,0,0.02,0.9
0.5,2,2,0,0,0.5,0,0.25,0,0,0,0.85
0.5,2,0,2,2,0,0,0.25,0.2,0.05,0,4.02
2,0,0,2,0,0,0,0.25,0.2,0.05,0,0.06
2,2,2,2,2,0.5,0.5,0.25,0,0.05,0,0.1
0.5,0,2,2,2,0,0.5,0.25,0,0.05,0,4.8
2,2,2,0,0,0,0.5,0.25,0.2,0,0.02,0.08
2,0,0,2,0,0,0,0.25,0.2,0,0.02,0.07
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
2,0,2,2,0,0.5,0,0,0,0.05,0.02,0
2,0,0,2,0,0.5,0,0.25,0.2,0,0.02,0.07
2,2,2,0,0,0,0,0,0.2,0.05,0.02,0.09
2,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,0,0,0,0,0,0,0,0,0,0,1.23
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,3.1
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.3
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
2,0,2,2,0,0.5,0,0,0,0.05,0.02,0.03
0.5,0,0,2,2,0.5,0,0.25,0.2,0,0.02,4.02
0.5,0,2,2,2,0,0.5,0.25,0,0.05,0,3.77
2,0,0,2,0,0,0,0.25,0.2,0.05,0,0.07
0.5,2,0,0,2,0,0,0,0.2,0.05,0.02,4.2
2,0,0,2,0,0,0.5,0,0,0,0.02,0.06
0.5,2,2,2,2,0,0,0,0.2,0,0.02,4.2
0.5,2,0,2,0,0.5,0.5,0,0.2,0.05,0,1.3
0.5,0,2,0,2,0.5,0,0.25,0,0,0,3.5
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,0,0,0,2,0,0,0,0,0,0,0.3
0.5,2,0,2,2,0.5,0,0.25,0.2,0,0.02,4.02
2,0,0,0,0,0,0,0,0,0,0,0.1
0.5,0,2,0,0,0,0.5,0.25,0.2,0,0.02,8.08
2,0,0,2,0,0,0,0.25,0.2,0.05,0,0.07
2,0,2,2,0,0.5,0.5,0,0,0.05,0,0
0.5,0,0,2,2,0.5,0,0.25,0.2,0,0.02,0.5
0.5,0,2,2,2,0,0.5,0.25,0,0.05,0,0.72
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.3
2,0,2,2,0,0.5,0.5,0,0,0.05,0,0
2,0,2,0,0,0,0.5,0.25,0.2,0,0.02,0.01
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
2,2,2,2,2,0.5,0.5,0.25,0,0,0,0.08
2,0,0,0,0,0,0,0,0,0,0,0.51
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.6
0.5,0,2,0,2,0.5,0,0.25,0,0,0,0.3
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,2,2,0,0,0.5,0,0,0.2,0.05,0.02,1.15
2,2,1,1,2,0,0.25,0,0,0.03,0.01,0.01
2,0,2,0,2,0.5,0.5,0,0.2,0,0,0.07
0.5,2,2,0,0,0.5,0,0.25,0,0.05,0.02,0.9
0.5,0,0,0,2,0,0.5,0.25,0,0.05,0.02,3.6
2,0,2,0,2,0.5,0.5,0,0.2,0.05,0,0.07
0.5,2,2,0,0,0.5,0,0.25,0,0,0,1.1
0.5,0,2,0,0,0,0.5,0.25,0.2,0,0.02,0.6
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
1.25,1,0,1,1,0.25,0.5,0.13,0.1,0.05,0.01,8.85
0.5,2,2,0,0,0.5,0,0.25,0,0,0,0.85
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,0.27
0.5,2,2,0,0,0.5,0,0.25,0,0,0,0.9
0.5,0,0,0,2,0,0.5,0,0.2,0.05,0,3.8
1.25,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,8.7
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
2,0,0,0,0,0,0,0,0,0,0,0.03
2,2,2,2,2,0.5,0.5,0.25,0,0.05,0,0.1
2,2,2,2,0,0.5,0.5,0,0.2,0,0,0.26
0.5,2,1,1,0,0.5,0.25,0.25,0.1,0.03,0.01,0.85
0.5,0,0,0,2,0,0,0,0,0,0,0.3
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.6
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,2.1
2,2,0,0,2,0.5,0.5,0,0.2,0.05,0,0.08
0.5,0,2,2,0,0.5,0,0,0,0.05,0.02,0.1
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,3.3
0.5,2,0,2,0,0.5,0.5,0,0.2,0.05,0,1.15
2,0,0,2,2,0.5,0,0.25,0.2,0,0.02,0.08
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,1.15
0.5,2,2,0,2,0.5,0,0.25,0,0,0,1.1
1.25,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,8.1
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.15
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.6
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.35
1.25,2,2,2,0,0.5,0.5,0,0.2,0,0,1.3
0.5,2,2,0,0,0,0.5,0.25,0.2,0,0.02,0.9
1.25,0,0,0,0,0,0,0,0,0,0,0.3
2,2,2,2,0,0.5,0.5,0,0.2,0,0,0.26
2,2,0,2,2,0,0.5,0,0,0,0.02,0.1
2,0,0,0,2,0.5,0.5,0,0.2,0.05,0,0.06
0.5,2,2,0,0,0.5,0,0.25,0,0,0.02,0.9
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,1.8
2,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,0.09
2,0,0,0,0,0,0,0,0,0,0,0.1
2,2,0,2,0,0,0,0.25,0.2,0.05,0,0.08
2,0,0,0,2,0.5,0,0,0.2,0,0,0.05
0.5,0,2,2,0,0.5,0,0,0,0.05,0.02,0.3
2,0,0,2,0,0,0.5,0,0,0,0.02,0.06
2,2,2,2,2,0,0,0,0,0.05,0.02,0.02
0.5,0,0,2,2,0,0.5,0.25,0,0.05,0,3.72
0.5,0,2,2,2,0,0.5,0.25,0,0.05,0,8.08
2,0,0,0,0,0,0.5,0.25,0.2,0.05,0.02,0.07
0.5,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,8.08
0.5,0,2,2,0,0.5,0.5,0,0.2,0,0,0.25
0.5,2,1,1,0,0.5,0.25,0,0.1,0.03,0.01,1.15
0.5,0,2,0,2,0,0,0.25,0,0.05,0,3.8
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,2,0,2,0,0,0,0.25,0.2,0.05,0,3.95
0.5,2,0,2,2,0,0,0,0.2,0.05,0,4.2
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,0.95
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
2,2,2,0,2,0,0,0,0,0,0,0.02
2,0,0,0,0,0,0,0,0,0,0,0.21
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
0.5,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.07
1.25,0,0,0,2,0.5,0.5,0,0.2,0.05,0,8.7
0.5,0,2,2,2,0.5,0,0.25,0.2,0,0.02,8.08
2,2,2,2,0,0,0,0.25,0.2,0.05,0,0.08
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.5
0.5,2,2,0,2,0.5,0,0.25,0,0,0,1.1
0.5,0,0,0,0,0,0,0,0,0,0,0.25
0.5,0,0,0,0,0,0,0,0,0,0,0.21
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.3
0.5,0,0,0,0,0,0,0,0,0,0,0.21
0.5,0,0,0,0,0,0,0,0,0,0,0.25
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.3
0.5,0,0,0,0,0,0,0,0,0,0,0.25
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.26
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.15
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,1.15
